project	n_samples	n_experiments	n_runs	runs_per_sample_max	strict_1to1	n_assay_triples	distinct_wells	well_coverage	looks_plate	plate_format	plates_est	assay_triples	found_by
PRJNA1234645	11805	11805	11805	1	True	3	0	0.0	False			Hi-C|GENOMIC|size fractionation;RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|size fractionation;RNA-Seq|TRANSCRIPTOMIC|size fractionation	bulk RNA-seq
PRJNA486542	7584	7584	7584	1	True	1	96	1.0	True	96	79.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA637317	6003	6003	6003	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJEB39472	4608	4608	4608	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|PolyA	single nucleus RNA-seq
PRJNA862252	4514	4514	4514	1	True	1	9	0.523	False		501.56	RNA-Seq|TRANSCRIPTOMIC|cDNA	single nucleus RNA-seq
PRJNA755316	4343	4343	4343	1	True	1	1	1.0	False		4343.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	single nucleus RNA-seq
PRJNA545730	3986	3986	3986	1	True	1	96	0.972	True	96	41.52	RNA-Seq|TRANSCRIPTOMIC|cDNA	Drop-seq;sci-RNA-seq
PRJEB24615	3934	3934	3934	1	True	2	0	0.0	False			MNase-Seq|GENOMIC|MNase;RNA-Seq|TRANSCRIPTOMIC|RANDOM PCR	bulk RNA-seq
PRJNA646410	2661	2661	3819	8	False	1	6	0.675	False		443.5	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJEB105229	2608	2608	2608	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	Drop-seq
PRJEB22075	2553	2553	2553	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|other	bulk RNA-seq
PRJNA830897	2500	2500	2500	1	True	3	0	0.0	False			ATAC-seq|GENOMIC|other;OTHER|TRANSCRIPTOMIC|other;RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	sci-RNA-seq
PRJEB23303	2212	2212	2212	1	True	2	2	0.347	False		1106.0	ATAC-seq|GENOMIC|other;RNA-Seq|TRANSCRIPTOMIC|Oligo-dT	bulk RNA-seq
