project	n_samples	n_experiments	n_runs	runs_per_sample_max	strict_1to1	n_assay_triples	distinct_wells	well_coverage	looks_plate	plate_format	plates_est	assay_triples	found_by
PRJEB14363	16607	16607	16607	1	True	2	384	0.792	True	384	43.25	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|PolyA;RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	Fluidigm C1
PRJEB45993	13258	13258	13258	1	True	1	384	1.0	True	384	34.53	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|Oligo-dT	smart-seq2;smartseq2;384-well
PRJEB36252	11682	11682	11682	1	True	1	384	1.0	True	384	30.42	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|PolyA	smart-seq2
PRJEB64058	11520	11520	11520	1	True	1	0	0.0	False			ATAC-seq|GENOMIC SINGLE CELL|RANDOM	plate-based single cell
PRJNA513339	8477	8477	8477	1	True	1	384	1.0	True	384	22.08	RNA-Seq|TRANSCRIPTOMIC|cDNA	smartseq2
PRJEB12617	7864	8314	8314	8	False	2	384	0.612	True	384	20.48	RNA-Seq|TRANSCRIPTOMIC|PolyA;RNA-Seq|TRANSCRIPTOMIC|cDNA	smart-seq2
PRJNA486542	7584	7584	7584	1	True	1	96	1.0	True	96	79.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	Fluidigm C1
PRJNA816486	7266	7266	7266	1	True	1	384	1.0	True	384	18.92	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	smart-seq3;plate-based single cell
PRJEB26550	7104	7104	7104	1	True	1	2	0.108	False		3552.0	ATAC-seq|GENOMIC|other	plate-based single cell
PRJNA1129044	6415	6415	6415	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	smart-seq3
PRJNA1003136	6099	6099	6099	1	True	1	384	1.0	True	384	15.88	OTHER|GENOMIC|other	384-well
PRJNA1007760	5995	5995	5995	1	True	1	384	0.998	True	384	15.61	OTHER|GENOMIC|other	384-well
PRJEB38334	5867	5867	5867	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|Oligo-dT	smartseq2;plate-based single cell
PRJNA792610	5464	5464	5464	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	smartseq2;384-well
PRJNA796235	4512	4512	4512	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	smart-seq2
PRJEB40000	4480	4480	4480	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|RANDOM	smart-seq2
PRJNA679857	4289	4289	4289	1	True	1	369	1.0	True	384	11.62	RNA-Seq|TRANSCRIPTOMIC|cDNA	smartseq2
PRJNA394919	4220	4220	9839	3	False	1	96	1.0	True	96	43.96	RNA-Seq|TRANSCRIPTOMIC|cDNA	STRT-seq
PRJEB38346	4001	4001	4001	1	True	1	0	0.0	False			ATAC-seq|OTHER|other	plate-based single cell
PRJNA545730	3986	3986	3986	1	True	1	96	0.972	True	96	41.52	RNA-Seq|TRANSCRIPTOMIC|cDNA	smart-seq2;CEL-seq2;plate-based single cell
PRJEB44892	3841	4232	4232	8	False	1	0	0.0	False			WGS|GENOMIC|RANDOM	smart-seq2
PRJNA438938	3840	3840	3840	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	MARS-seq
PRJNA1002773	3831	3831	3831	1	True	1	95	1.0	True	96	40.33	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	smartseq2
PRJNA1129023	3745	3745	3766	4	False	6	7	1.0	False		535.0	ATAC-seq|GENOMIC SINGLE CELL|other;ATAC-seq|GENOMIC|other;ChIP-Seq|GENOMIC|ChIP;Hi-C|GENOMIC|other;OTHER|GENOMIC|other;RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|cDNA	smartseq2;smartseq3
PRJNA606580	3647	3647	3647	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	smart-seq2;96-well
PRJEB15401	3514	3514	3514	1	True	1	384	1.0	True	384	9.15	RNA-Seq|TRANSCRIPTOMIC|RANDOM	smart-seq2;384-well
PRJEB35363	3455	3455	3455	1	True	1	24	0.667	False		143.96	RNA-Seq|TRANSCRIPTOMIC SINGLE CELL|PolyA	smart-seq2;96-well
