cell	reads	tag_at_0	tag_anywhere	tag_at_0_plus_GGG	exact_tagged	fuzzy_tagged	fuzzy_gain_pct
SRR19884922	2000	1192	1234	1121	1157	1239	7.09
SRR19884992	2000	1313	1343	1241	1265	1343	6.17
SRR19885397	2000	1174	1212	706	737	819	11.13
SRR19885469	2000	768	815	593	628	698	11.15
SRR19885554	2000	822	899	732	805	874	8.57
SRR19885810	2000	921	983	618	669	722	7.92
SRR19885842	901	499	522	443	464	498	7.33
SRR19885954	2000	1237	1254	762	778	875	12.47
SRR19886065	2000	1144	1171	609	631	701	11.09
SRR19886277	2000	1157	1206	1087	1132	1207	6.63
ALL	18901				8266	8976	8.59
